n,true_sem,c4,exp_sem,abs_bias,rel_bias,MSE_analytical
2,0.7071067811865475,0.7978845608028655,0.5641895835477564,-0.14291719763879107,-0.20211543919713443,0.20211543919713448
3,0.5773502691896258,0.8862269254527579,0.5116633539732443,-0.06568691521638159,-0.1137730745472421,0.07584871636482804
4,0.5,0.9213177319235614,0.4606588659617807,-0.039341134038219316,-0.07868226807643863,0.039341134038219316
5,0.4472135954999579,0.9399856029866253,0.4203743412298447,-0.026839254270113244,-0.060014397013374715,0.024005758805349896
6,0.4082482904638631,0.9515328619481446,0.38846166421051703,-0.01978662625334604,-0.048467138051855464,0.01615571268395181
7,0.3779644730092272,0.959368788699833,0.362607318642433,-0.01535715436679419,-0.04063121130016704,0.01160891751433343
8,0.35355339059327373,0.9650304561473718,0.34118978979667686,-0.012363600796596874,-0.0349695438526282,0.008742385963157046
9,0.3333333333333333,0.9693106997139541,0.32310356657131806,-0.010229766762015258,-0.030689300286045773,0.006819844508010197
10,0.31622776601683794,0.972659274121588,0.30758186935102894,-0.008645896665809005,-0.027340725878412093,0.005468145175682393
11,0.30151134457776363,0.9753500771452291,0.29407911319408353,-0.007432231383680099,-0.02464992285477083,0.004481804155412883
12,0.2886751345948129,0.9775593518547722,0.2821970774710944,-0.006478057123718517,-0.022440648145227948,0.0037401080242046394
13,0.2773500981126146,0.9794056043142176,0.2716382404485928,-0.005711857664021769,-0.02059439568578245,0.0031683685670434404
14,0.2672612419124244,0.9809714367555165,0.2621756444678946,-0.005085597444529799,-0.019028563244483602,0.0027183661777833634
15,0.2581988897471611,0.9823161771626505,0.25363294632407196,-0.004565943423089136,-0.01768382283734951,0.002357843044979931
16,0.25,0.9834835316158411,0.24587088290396028,-0.0041291170960397194,-0.016516468384158878,0.0020645585480198597
17,0.24253562503633297,0.9845064054718317,0.23877787640338416,-0.0037577486329488097,-0.01549359452816831,0.0018227758268433343
18,0.23570226039551587,0.9854100438080791,0.23226337474200853,-0.0034388856535073342,-0.014589956191921006,0.001621106243546771
19,0.22941573387056174,0.9862141368601934,0.2262530399613039,-0.0031626939092578576,-0.0137858631398066,0.001451143488400691
20,0.22360679774997896,0.9869342675246553,0.22068521115090922,-0.002921586599069742,-0.013065732475344734,0.0013065732475344705
21,0.2182178902359924,0.9875829288261565,0.2155082631615261,-0.0027096270744662865,-0.012417071173843502,0.001182578207032714
22,0.21320071635561041,0.9881702533158309,0.21067860588824017,-0.0025221104673702477,-0.011829746684169046,0.001075431516742649
