n,M,true_sem,emp_sem,avg_est_sem,bias_sem,mse_est,mse_analytic
2,200000,0.7071067811865475,0.7083048947525866,0.5638299585638465,-0.14327682262270092,0.20237274231008684,0.2021154391971344
3,200000,0.5773502691896258,0.5774526997412435,0.5125070585089905,-0.06484321068063537,0.07599012487552438,0.075848716364828
4,200000,0.5,0.5007899412914206,0.46009335918754035,-0.03990664081245965,0.03949375066797976,0.0393411340382193
5,200000,0.4472135954999579,0.4471721110785844,0.420418020628061,-0.026795574871896932,0.024085412100192015,0.0240057588053498
6,200000,0.4082482904638631,0.4084030746317643,0.38850665861735295,-0.01974163184651012,0.016093563948299302,0.0161557126839518
7,200000,0.3779644730092272,0.3779534455165413,0.3626818214991392,-0.015282651510088008,0.011583629060392633,0.0116089175143334
8,200000,0.35355339059327373,0.35314538528726147,0.3412715330087606,-0.012281857584513112,0.008737377211159384,0.008742385963157
9,200000,0.3333333333333333,0.33404231115427535,0.32313755819710127,-0.010195775136232044,0.006813315405329713,0.0068198445080101
10,200000,0.31622776601683794,0.316433157139855,0.30748184815156876,-0.008745917865269182,0.005472896050400543,0.0054681451756823
11,200000,0.30151134457776363,0.3014773374813481,0.29414904738122744,-0.007362297196536194,0.004487256853752015,0.0044818041554128
12,200000,0.2886751345948129,0.2886923167225774,0.2820405457672602,-0.006634588827552745,0.0037461694476096873,0.0037401080242046
13,200000,0.2773500981126146,0.2772731996222887,0.2717220777139539,-0.005628020398660671,0.0031762001068815697,0.0031683685670434
14,200000,0.2672612419124244,0.26705289475665384,0.26210051879442037,-0.005160723118004029,0.002712906314361804,0.0027183661777833
15,200000,0.2581988897471611,0.25878028717161855,0.2535957948414723,-0.004603094905688776,0.0023564191425343157,0.0023578430449799
16,200000,0.25,0.25044284764621766,0.24571603957979896,-0.004283960420201044,0.0020613931183961778,0.0020645585480198
17,200000,0.24253562503633297,0.24302925634435166,0.23886389879623177,-0.003671726240101203,0.0018093891880915348,0.0018227758268433
18,200000,0.23570226039551587,0.2357736700010254,0.23226420083191965,-0.0034380595635962186,0.0016090402110968507,0.0016211062435467
19,200000,0.22941573387056174,0.22977469882683785,0.22623628265804277,-0.0031794512125189744,0.0014432873668997505,0.0014511434884006
20,200000,0.22360679774997896,0.22371407668707505,0.2206970243740479,-0.0029097733759310684,0.0013105850369314297,0.0013065732475344
21,200000,0.2182178902359924,0.21820536302173116,0.21545195544217205,-0.0027659347938203405,0.0011870423979186296,0.0011825782070327
22,200000,0.21320071635561041,0.21380651511716955,0.21069331855409096,-0.0025073978015194565,0.0010750597728405092,0.0010754315167426
23,200000,0.20851441405707477,0.2080153129110775,0.2062040163356963,-0.0023103977213784765,0.000988610119427801,0.000982213457913
24,200000,0.20412414523193154,0.2042494582001121,0.20202969190239004,-0.0020944533295415013,0.0009011095689241625,0.0009006104201246
25,200000,0.2,0.19996311769531294,0.19793996420714163,-0.002060035792858378,0.0008316820254633058,0.0008287699531437
26,200000,0.19611613513818404,0.19615027133485957,0.19404282943430823,-0.0020733057038758163,0.0007650466941020838,0.0007651947045453
27,200000,0.19245008972987526,0.1924696971773656,0.19058461628265427,-0.0018654734472209888,0.0007099599038888185,0.0007086637622631
28,200000,0.1889822365046136,0.18850554681754098,0.18728038700855515,-0.0017018494960584496,0.0006571235251930269,0.0006581735984476
29,200000,0.18569533817705186,0.1861934098569901,0.184032171376893,-0.0016631668001588495,0.0006095219773021802,0.0006128932246907
30,200000,0.18257418583505536,0.18201683250581496,0.1810413624251825,-0.0015328234098728466,0.0005729345557457994,0.0005721297804884
31,200000,0.1796053020267749,0.1798744058467007,0.1780990508709542,-0.0015062511558207037,0.0005380414536435047,0.0005353018703493
32,200000,0.17677669529663687,0.1770598531371434,0.17540385223549274,-0.00137284306114413,0.0005001027983006895,0.0005019187177936
33,200000,0.17407765595569785,0.17395154672578575,0.17273156075074808,-0.001346095204949771,0.00047097476589488693,0.0004715637298645
34,200000,0.17149858514250882,0.1717723275881855,0.1702199413237525,-0.0012786438187563087,0.00044386211996105997,0.0004438814370509
35,200000,0.1690308509457033,0.1691319466285064,0.1677813118417892,-0.0012495391039140935,0.0004177147989337044,0.000418567039008
36,200000,0.16666666666666666,0.16634241796388996,0.16547889491405263,-0.0011877717526140308,0.00039565667139577983,0.0003953579783878
37,200000,0.1643989873053573,0.16442174384346925,0.16326209825259888,-0.0011368890527584108,0.00037441818137679846,0.0003740271052766
38,200000,0.16222142113076254,0.16230721000021428,0.16112391149141667,-0.0010975096393458783,0.0003550685793296171,0.000354377098119
39,200000,0.16012815380508713,0.1600502834586333,0.15907126572762617,-0.0010568880774609601,0.00033687995518727265,0.0003362358839376
40,200000,0.15811388300841897,0.15825872471159458,0.15709144922720342,-0.0010224337812155537,0.0003185595080292618,0.0003194528584057
41,200000,0.15617376188860607,0.1558974759220284,0.1551711031341389,-0.0010026587544671728,0.00030439336949412955,0.0003038957500181
42,200000,0.1543033499620919,0.15435950198154222,0.15336080477518954,-0.0009425451869023715,0.0002901014737317309,0.000289448005912
43,200000,0.15249857033260467,0.1526737009414468,0.1515722592578496,-0.0009263110747550762,0.0002755662420593351,0.0002760066024721
44,200000,0.15075567228888181,0.1506364532279497,0.14985810323908522,-0.0008975690497965982,0.0002638341201516875,0.0002634802036267
45,200000,0.14907119849998599,0.14889097062537068,0.14820072372184775,-0.0008704747781382305,0.0002521333550898289,0.000251787605135
46,200000,0.14744195615489714,0.14748123240787378,0.14657934947009818,-0.0008626066847989555,0.0002426950743184393,0.0002408564152133
47,200000,0.14586499149789456,0.14599079853395097,0.1450988251708461,-0.0007661663270484564,0.00023004265691951828,0.00023062193134
48,200000,0.14433756729740646,0.14475771622006128,0.14354690335791817,-0.0007906639394882897,0.0002215305972149583,0.0002210261805985
49,200000,0.14285714285714285,0.14270331460483127,0.14211230631860358,-0.0007448365385392675,0.00021226447208145597,0.0002120170968985
50,200000,0.1414213562373095,0.1417685732605664,0.1407247954394517,-0.0006965607978577926,0.0002041465996326665,0.0002035478132106
55,200000,0.13483997249264842,0.13451165773527407,0.1342441621226182,-0.0005958103700302309,0.00016829049829956603,0.0001679514957504
